Suburb,Median Homes Estimate,YEAR,Homes Estimate Change %,latitude,longitude
HARROWFIELD  ,831522,2019,-4.34,-37.7418,175.2589
HUNTINGTON  ,795535,2019,3.92,-37.7428,175.2818
FLAGSTAFF  ,785481,2019,0.36,-37.7353,175.2518
ROTOTUNA NORTH  ,773558,2019,3.43,-37.7282,175.2638
ROTOTUNA  ,759437,2019,1.64,-37.7362,175.2732
WESTERN HEIGHTS  ,722026,2019,1.62,-37.7898,175.2338
GRANDVIEW HEIGHTS ,700371,2019,6.8,-37.7814,175.2203
QUEENWOOD  ,699636,2019,-0.87,-37.7482,175.2717
CHEDWORTH  ,664725,2019,2.74,-37.7529,175.2856
RIVERLEA  ,659537,2019,-2.85,-37.8065,175.3244
RUAKURA  ,655040,2019,5.63,-37.7717,175.3186
HAMILTON LAKE ,638387,2019,0.66,-37.8046,175.2798
BEERESCOURT  ,628431,2019,-7.44,-37.7694,175.2626
HILLCREST  ,600689,2019,6.92,-37.8012,175.3131
PUKETE  ,581545,2019,2.79,-37.7417,175.2425
HAMILTON CENTRAL ,575470,2019,-17.4,-37.7938,175.2857
CHARTWELL  ,574906,2019,2.94,-37.7588,175.2779
FITZROY  ,569400,2019,7.55,-37.8155,175.3006
SAINT ANDREWS ,566390,2019,1.27,-37.7496,175.2548
CLAUDELANDS  ,558631,2019,-8.8,-37.7762,175.2946
FOREST LAKE  ,551127,2019,-0.37,-37.7745,175.2549
SILVERDALE  ,550871,2019,4.04,-37.7934,175.3305
GLENVIEW  ,549945,2019,3.12,-37.8234,175.2875
HAMILTON EAST ,544804,2019,7.16,-37.7958,175.298
FAIRVIEW DOWNS ,535000,2019,3.96,-37.7645,175.3049
MAEROA  ,526971,2019,2.3,-37.7814,175.2609
DINSDALE  ,526217,2019,4.86,-37.7967,175.2428
DEANWELL  ,504777,2019,4.12,-37.8192,175.2751
FAIRFIELD  ,493756,2019,1.06,-37.7686,175.2864
WHITIORA  ,492243,2019,-22.14,-37.7746,175.2678
MELVILLE  ,483502,2019,2.09,-37.8104,175.278
NAWTON  ,460163,2019,2.16,-37.7795,175.2368
TEMPLE VIEW  ,454162,2019,2.35,-37.818,175.2224
TE RAPA  ,447027,2019,2.63,-37.7284,175.2252
FRANKTON  ,436148,2019,-6.59,-37.7909,175.2571
BADER   ,414525,2019,4.11,-37.8092,175.2916
,,,,,
,,,,,
HARROWFIELD  ,869327,2018,5.34,-37.7418,175.2589
HUNTINGTON  ,765500,2018,1.86,-37.7428,175.2818
FLAGSTAFF  ,782650,2018,4.65,-37.7353,175.2518
ROTOTUNA NORTH  ,747838,2018,1.67,-37.7282,175.2638
ROTOTUNA  ,747163,2018,1.15,-37.7362,175.2732
WESTERN HEIGHTS  ,710488,2018,1.78,-37.7898,175.2338
GRANDVIEW HEIGHTS ,655737,2018,1.25,-37.7814,175.2203
QUEENWOOD  ,705818,2018,2.72,-37.7482,175.2717
CHEDWORTH  ,646984,2018,4.42,-37.7529,175.2856
RIVERLEA  ,678943,2018,-1.37,-37.8065,175.3244
RUAKURA  ,620118,2018,4.69,-37.7717,175.3186
HAMILTON LAKE ,634183,2018,8.93,-37.8046,175.2798
BEERESCOURT  ,678973,2018,4.79,-37.7694,175.2626
HILLCREST  ,561800,2018,4.69,-37.8012,175.3131
PUKETE  ,565729,2018,1.44,-37.7417,175.2425
HAMILTON CENTRAL ,696760,2018,3.64,-37.7938,175.2857
CHARTWELL  ,558450,2018,3.19,-37.7588,175.2779
FITZROY  ,529422,2018,4.22,-37.8155,175.3006
SAINT ANDREWS ,559267,2018,-0.58,-37.7496,175.2548
CLAUDELANDS  ,612577,2018,1.84,-37.7762,175.2946
FOREST LAKE  ,553214,2018,3.26,-37.7745,175.2549
SILVERDALE  ,529473,2018,3.52,-37.7934,175.3305
GLENVIEW  ,533270,2018,2.88,-37.8234,175.2875
HAMILTON EAST ,508400,2018,4.3,-37.7958,175.298
FAIRVIEW DOWNS ,514608,2018,5.43,-37.7645,175.3049
MAEROA  ,515114,2018,1.12,-37.7814,175.2609
DINSDALE  ,501800,2018,2.24,-37.7967,175.2428
DEANWELL  ,484760,2018,6.72,-37.8192,175.2751
FAIRFIELD  ,488571,2018,4.03,-37.7686,175.2864
WHITIORA  ,632248,2018,-3.63,-37.7746,175.2678
MELVILLE  ,473588,2018,2.01,-37.8104,175.278
NAWTON  ,450400,2018,3.97,-37.7795,175.2368
TEMPLE VIEW  ,465131,2018,3.78,-37.818,175.2224
TE RAPA  ,435560,2018,-1.6,-37.7284,175.2252
FRANKTON  ,466918,2018,3.75,-37.7909,175.2571
BADER   ,398156,2018,4.23,-37.8092,175.2916
,,,,,
,,,,,
HARROWFIELD  ,825256,2017,0,-37.7418,175.2589
HUNTINGTON  ,751500,2017,0,-37.7428,175.2818
FLAGSTAFF  ,747850,2017,0,-37.7353,175.2518
ROTOTUNA NORTH  ,735585,2017,0,-37.7282,175.2638
ROTOTUNA  ,738665,2017,0,-37.7362,175.2732
WESTERN HEIGHTS  ,698071,2017,0,-37.7898,175.2338
GRANDVIEW HEIGHTS ,647624,2017,0,-37.7814,175.2203
QUEENWOOD  ,687142,2017,0,-37.7482,175.2717
CHEDWORTH  ,619605,2017,0,-37.7529,175.2856
RIVERLEA  ,688355,2017,0,-37.8065,175.3244
RUAKURA  ,592336,2017,0,-37.7717,175.3186
HAMILTON LAKE ,582192,2017,0,-37.8046,175.2798
BEERESCOURT  ,647937,2017,0,-37.7694,175.2626
HILLCREST  ,536600,2017,0,-37.8012,175.3131
PUKETE  ,557704,2017,0,-37.7417,175.2425
HAMILTON CENTRAL ,672266,2017,0,-37.7938,175.2857
CHARTWELL  ,541150,2017,0,-37.7588,175.2779
FITZROY  ,507964,2017,0,-37.8155,175.3006
SAINT ANDREWS ,562503,2017,0,-37.7496,175.2548
CLAUDELANDS  ,601512,2017,0,-37.7762,175.2946
FOREST LAKE  ,535754,2017,0,-37.7745,175.2549
SILVERDALE  ,511488,2017,0,-37.7934,175.3305
